#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=17.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:02:53
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(17)' coupled to the particle 'H2+'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   2.59621751e-024    
   5.5000        5.6761e+017   2.36626530e-024    
   5.5000        6.4437e+017   2.15652159e-024    
   5.5000        7.3150e+017   1.96517135e-024    
   5.5000        8.3041e+017   1.79055838e-024    
   5.5000        9.4270e+017   1.63117421e-024    
   5.5000        1.0702e+018   1.48564801e-024    
   5.5000        1.2149e+018   1.35273707e-024    
   5.5000        1.3792e+018   1.23131775e-024    
   5.5000        1.5657e+018   1.12037622e-024    
   5.5000        1.7774e+018   1.01899917e-024    
   5.5000        2.0177e+018   9.26364314e-025    
   5.5000        2.2906e+018   8.41730769e-025    
   5.5000        2.6003e+018   7.64429665e-025    
   5.5000        2.9519e+018   6.93855113e-025    
   5.5000        3.3511e+018   6.29455864e-025    
   5.5000        3.8042e+018   5.70727854e-025    
   5.5000        4.3186e+018   5.17207817e-025    
   5.5000        4.9026e+018   4.68468010e-025    
   5.5000        5.5656e+018   4.24112051e-025    
   5.5000        6.3182e+018   3.83771761e-025    
   5.5000        7.1725e+018   3.47104871e-025    
   5.5000        8.1424e+018   3.13793404e-025    
   5.5000        9.2434e+018   2.83542527e-025    
   5.5000        1.0493e+019   2.56079704e-025    
   5.5000        1.1912e+019   2.31153960e-025    
   5.5000        1.3523e+019   2.08535159e-025    
   5.5000        1.5352e+019   1.88013163e-025    
   5.5000        1.7428e+019   1.69396861e-025    
   5.5000        1.9784e+019   1.52513021e-025    
   5.5000        2.2460e+019   1.37204999e-025    
   5.5000        2.5497e+019   1.23331335e-025    
   5.5000        2.8944e+019   1.10764292e-025    
   5.5000        3.2858e+019   9.93883919e-026    
   5.5000        3.7301e+019   8.90990080e-026    
   5.5000        4.2345e+019   7.98010595e-026    
   5.5000        4.8071e+019   7.14078385e-026    
   5.5000        5.4572e+019   6.38399902e-026    
   5.5000        6.1951e+019   5.70246523e-026    
   5.5000        7.0328e+019   5.08947437e-026    
   5.5000        7.9838e+019   4.53883891e-026    
   5.5000        9.0634e+019   4.04484579e-026    
   5.5000        1.0289e+020   3.60221942e-026    
   5.5000        1.1680e+020   3.20609161e-026    
   5.5000        1.3260e+020   2.85197641e-026    
   5.5000        1.5053e+020   2.53574834e-026    
   5.5000        1.7088e+020   2.25362250e-026    
   5.5000        1.9399e+020   2.00213593e-026    
   5.5000        2.2022e+020   1.77812938e-026    
   5.5000        2.5000e+020   1.57872939e-026    
   5.6726        5.0000e+017   2.55184357e-024    
   5.6726        5.6761e+017   2.32583221e-024    
   5.6726        6.4437e+017   2.11967810e-024    
   5.6726        7.3150e+017   1.93159817e-024    
   5.6726        8.3041e+017   1.75996546e-024    
   5.6726        9.4270e+017   1.60329816e-024    
   5.6726        1.0702e+018   1.46024971e-024    
   5.6726        1.2149e+018   1.32959948e-024    
   5.6726        1.3792e+018   1.21024379e-024    
   5.6726        1.5657e+018   1.10118683e-024    
   5.6726        1.7774e+018   1.00153150e-024    
   5.6726        2.0177e+018   9.10470028e-025    
   5.6726        2.2906e+018   8.27274534e-025    
   5.6726        2.6003e+018   7.51287782e-025    
   5.6726        2.9519e+018   6.81914305e-025    
   5.6726        3.3511e+018   6.18612222e-025    
   5.6726        3.8042e+018   5.60885937e-025    
   5.6726        4.3186e+018   5.08279884e-025    
   5.6726        4.9026e+018   4.60373370e-025    
   5.6726        5.5656e+018   4.16776516e-025    
   5.6726        6.3182e+018   3.77127181e-025    
   5.6726        7.1725e+018   3.41088721e-025    
   5.6726        8.1424e+018   3.08348419e-025    
   5.6726        9.2434e+018   2.78616361e-025    
   5.6726        1.0493e+019   2.51624604e-025    
   5.6726        1.1912e+019   2.27126454e-025    
   5.6726        1.3523e+019   2.04895736e-025    
   5.6726        1.5352e+019   1.84725970e-025    
   5.6726        1.7428e+019   1.66429388e-025    
   5.6726        1.9784e+019   1.49835808e-025    
   5.6726        2.2460e+019   1.34791342e-025    
   5.6726        2.5497e+019   1.21157011e-025    
   5.6726        2.8944e+019   1.08807303e-025    
   5.6726        3.2858e+019   9.76287308e-026    
   5.6726        3.7301e+019   8.75184471e-026    
   5.6726        4.2345e+019   7.83829648e-026    
   5.6726        4.8071e+019   7.01370076e-026    
   5.6726        5.4572e+019   6.27025132e-026    
   5.6726        6.1951e+019   5.60077922e-026    
   5.6726        7.0328e+019   4.99868347e-026    
   5.6726        7.9838e+019   4.45787494e-026    
   5.6726        9.0634e+019   3.97273138e-026    
   5.6726        1.0289e+020   3.53806132e-026    
   5.6726        1.1680e+020   3.14907468e-026    
   5.6726        1.3260e+020   2.80135817e-026    
   5.6726        1.5053e+020   2.49085383e-026    
   5.6726        1.7088e+020   2.21383952e-026    
   5.6726        1.9399e+020   1.96691045e-026    
   5.6726        2.2022e+020   1.74696121e-026    
   5.6726        2.5000e+020   1.55116803e-026    
   5.8506        5.0000e+017   2.50670655e-024    
   5.8506        5.6761e+017   2.28470030e-024    
   5.8506        6.4437e+017   2.08219493e-024    
   5.8506        7.3150e+017   1.89743978e-024    
   5.8506        8.3041e+017   1.72883754e-024    
   5.8506        9.4270e+017   1.57493341e-024    
   5.8506        1.0702e+018   1.43440545e-024    
   5.8506        1.2149e+018   1.30605535e-024    
   5.8506        1.3792e+018   1.18879965e-024    
   5.8506        1.5657e+018   1.08166077e-024    
   5.8506        1.7774e+018   9.83758002e-025    
   5.8506        2.0177e+018   8.94298251e-025    
   5.8506        2.2906e+018   8.12566805e-025    
   5.8506        2.6003e+018   7.37918205e-025    
   5.8506        2.9519e+018   6.69767547e-025    
   5.8506        3.3511e+018   6.07582462e-025    
   5.8506        3.8042e+018   5.50875957e-025    
   5.8506        4.3186e+018   4.99200303e-025    
   5.8506        4.9026e+018   4.52141995e-025    
   5.8506        5.5656e+018   4.09317789e-025    
   5.8506        6.3182e+018   3.70371703e-025    
   5.8506        7.1725e+018   3.34972840e-025    
   5.8506        8.1424e+018   3.02813846e-025    
   5.8506        9.2434e+018   2.73609829e-025    
   5.8506        1.0493e+019   2.47097527e-025    
   5.8506        1.1912e+019   2.23034600e-025    
   5.8506        1.3523e+019   2.01198908e-025    
   5.8506        1.5352e+019   1.81387681e-025    
   5.8506        1.7428e+019   1.63416552e-025    
   5.8506        1.9784e+019   1.47118428e-025    
   5.8506        2.2460e+019   1.32342215e-025    
   5.8506        2.5497e+019   1.18951455e-025    
   5.8506        2.8944e+019   1.06822890e-025    
   5.8506        3.2858e+019   9.58450560e-026    
   5.8506        3.7301e+019   8.59169148e-026    
   5.8506        4.2345e+019   7.69466019e-026    
   5.8506        4.8071e+019   6.88503008e-026    
   5.8506        5.4572e+019   6.15512692e-026    
   5.8506        6.1951e+019   5.49790174e-026    
   5.8506        7.0328e+019   4.90686326e-026    
   5.8506        7.9838e+019   4.37602318e-026    
   5.8506        9.0634e+019   3.89985233e-026    
   5.8506        1.0289e+020   3.47324550e-026    
   5.8506        1.1680e+020   3.09149267e-026    
   5.8506        1.3260e+020   2.75025497e-026    
   5.8506        1.5053e+020   2.44554356e-026    
   5.8506        1.7088e+020   2.17370047e-026    
   5.8506        1.9399e+020   1.93138032e-026    
   5.8506        2.2022e+020   1.71553269e-026    
   5.8506        2.5000e+020   1.52338440e-026    
   6.0342        5.0000e+017   2.46509507e-024    
   6.0342        5.6761e+017   2.24678330e-024    
   6.0342        6.4437e+017   2.04764355e-024    
   6.0342        7.3150e+017   1.86595516e-024    
   6.0342        8.3041e+017   1.70014818e-024    
   6.0342        9.4270e+017   1.54879280e-024    
   6.0342        1.0702e+018   1.41058980e-024    
   6.0342        1.2149e+018   1.28436149e-024    
   6.0342        1.3792e+018   1.16904304e-024    
   6.0342        1.5657e+018   1.06367368e-024    
   6.0342        1.7774e+018   9.67387805e-025    
   6.0342        2.0177e+018   8.79405851e-025    
   6.0342        2.2906e+018   7.99025216e-025    
   6.0342        2.6003e+018   7.25611281e-025    
   6.0342        2.9519e+018   6.58588866e-025    
   6.0342        3.3511e+018   5.97434352e-025    
   6.0342        3.8042e+018   5.41668670e-025    
   6.0342        4.3186e+018   4.90851305e-025    
   6.0342        4.9026e+018   4.44575376e-025    
   6.0342        5.5656e+018   4.02463753e-025    
   6.0342        6.3182e+018   3.64166138e-025    
   6.0342        7.1725e+018   3.29356933e-025    
   6.0342        8.1424e+018   2.97733744e-025    
   6.0342        9.2434e+018   2.69016313e-025    
   6.0342        1.0493e+019   2.42945704e-025    
   6.0342        1.1912e+019   2.19283607e-025    
   6.0342        1.3523e+019   1.97811609e-025    
   6.0342        1.5352e+019   1.78330374e-025    
   6.0342        1.7428e+019   1.60658681e-025    
   6.0342        1.9784e+019   1.44632296e-025    
   6.0342        2.2460e+019   1.30102714e-025    
   6.0342        2.5497e+019   1.16935805e-025    
   6.0342        2.8944e+019   1.05010403e-025    
   6.0342        3.2858e+019   9.42169127e-026    
   6.0342        3.7301e+019   8.44559728e-026    
   6.0342        4.2345e+019   7.56372198e-026    
   6.0342        4.8071e+019   6.76781879e-026    
   6.0342        5.4572e+019   6.05033556e-026    
   6.0342        6.1951e+019   5.40433423e-026    
   6.0342        7.0328e+019   4.82342488e-026    
   6.0342        7.9838e+019   4.30171229e-026    
   6.0342        9.0634e+019   3.83375319e-026    
   6.0342        1.0289e+020   3.41452190e-026    
   6.0342        1.1680e+020   3.03938220e-026    
   6.0342        1.3260e+020   2.70406373e-026    
   6.0342        1.5053e+020   2.40464129e-026    
   6.0342        1.7088e+020   2.13751594e-026    
   6.0342        1.9399e+020   1.89939701e-026    
   6.0342        2.2022e+020   1.68728459e-026    
   6.0342        2.5000e+020   1.49845213e-026    
   6.2236        5.0000e+017   2.42262627e-024    
   6.2236        5.6761e+017   2.20808019e-024    
   6.2236        6.4437e+017   2.01237162e-024    
   6.2236        7.3150e+017   1.83381039e-024    
   6.2236        8.3041e+017   1.67085439e-024    
   6.2236        9.4270e+017   1.52209918e-024    
   6.2236        1.0702e+018   1.38626861e-024    
   6.2236        1.2149e+018   1.26220591e-024    
   6.2236        1.3792e+018   1.14886518e-024    
   6.2236        1.5657e+018   1.04530268e-024    
   6.2236        1.7774e+018   9.50668108e-025    
   6.2236        2.0177e+018   8.64195627e-025    
   6.2236        2.2906e+018   7.85194917e-025    
   6.2236        2.6003e+018   7.13042362e-025    
   6.2236        2.9519e+018   6.47172661e-025    
   6.2236        3.3511e+018   5.87071098e-025    
   6.2236        3.8042e+018   5.32266675e-025    
   6.2236        4.3186e+018   4.82326240e-025    
   6.2236        4.9026e+018   4.36849674e-025    
   6.2236        5.5656e+018   3.95466103e-025    
   6.2236        6.3182e+018   3.57831040e-025    
   6.2236        7.1725e+018   3.23624316e-025    
   6.2236        8.1424e+018   2.92548606e-025    
   6.2236        9.2434e+018   2.64328391e-025    
   6.2236        1.0493e+019   2.38709162e-025    
   6.2236        1.1912e+019   2.15456716e-025    
   6.2236        1.3523e+019   1.94356446e-025    
   6.2236        1.5352e+019   1.75212517e-025    
   6.2236        1.7428e+019   1.57846906e-025    
   6.2236        1.9784e+019   1.42098293e-025    
   6.2236        2.2460e+019   1.27820806e-025    
   6.2236        2.5497e+019   1.14882686e-025    
   6.2236        2.8944e+019   1.03164896e-025    
   6.2236        3.2858e+019   9.25597466e-026    
   6.2236        3.7301e+019   8.29695860e-026    
   6.2236        4.2345e+019   7.43055857e-026    
   6.2236        4.8071e+019   6.64866626e-026    
   6.2236        5.4572e+019   5.94385466e-026    
   6.2236        6.1951e+019   5.30929962e-026    
   6.2236        7.0328e+019   4.73871535e-026    
   6.2236        7.9838e+019   4.22630242e-026    
   6.2236        9.0634e+019   3.76670596e-026    
   6.2236        1.0289e+020   3.35498212e-026    
   6.2236        1.1680e+020   2.98657060e-026    
   6.2236        1.3260e+020   2.65727151e-026    
   6.2236        1.5053e+020   2.36322505e-026    
   6.2236        1.7088e+020   2.10089289e-026    
   6.2236        1.9399e+020   1.86704046e-026    
   6.2236        2.2022e+020   1.65871964e-026    
   6.2236        2.5000e+020   1.47325160e-026    
   6.4189        5.0000e+017   2.38262259e-024    
   6.4189        5.6761e+017   2.17162690e-024    
   6.4189        6.4437e+017   1.97915321e-024    
   6.4189        7.3150e+017   1.80354014e-024    
   6.4189        8.3041e+017   1.64327187e-024    
   6.4189        9.4270e+017   1.49696792e-024    
   6.4189        1.0702e+018   1.36337387e-024    
   6.4189        1.2149e+018   1.24135273e-024    
   6.4189        1.3792e+018   1.12987640e-024    
   6.4189        1.5657e+018   1.02801720e-024    
   6.4189        1.7774e+018   9.34939245e-025    
   6.4189        2.0177e+018   8.49889625e-025    
   6.4189        2.2906e+018   7.72189585e-025    
   6.4189        2.6003e+018   7.01225869e-025    
   6.4189        2.9519e+018   6.36442482e-025    
   6.4189        3.3511e+018   5.77333096e-025    
   6.4189        3.8042e+018   5.23434322e-025    
   6.4189        4.3186e+018   4.74319950e-025    
   6.4189        4.9026e+018   4.29596246e-025    
   6.4189        5.5656e+018   3.88898241e-025    
   6.4189        6.3182e+018   3.51886938e-025    
   6.4189        7.1725e+018   3.18247291e-025    
   6.4189        8.1424e+018   2.87686770e-025    
   6.4189        9.2434e+018   2.59934334e-025    
   6.4189        1.0493e+019   2.34739649e-025    
   6.4189        1.1912e+019   2.11872399e-025    
   6.4189        1.3523e+019   1.91121566e-025    
   6.4189        1.5352e+019   1.72294623e-025    
   6.4189        1.7428e+019   1.55216569e-025    
   6.4189        1.9784e+019   1.39728832e-025    
   6.4189        2.2460e+019   1.25688028e-025    
   6.4189        2.5497e+019   1.12964634e-025    
   6.4189        2.8944e+019   1.01441623e-025    
   6.4189        3.2858e+019   9.10131072e-026    
   6.4189        3.7301e+019   8.15830489e-026    
   6.4189        4.2345e+019   7.30640688e-026    
   6.4189        4.8071e+019   6.53763900e-026    
   6.4189        5.4572e+019   5.84469242e-026    
   6.4189        6.1951e+019   5.22085052e-026    
   6.4189        7.0328e+019   4.65992585e-026    
   6.4189        7.9838e+019   4.15620934e-026    
   6.4189        9.0634e+019   3.70442950e-026    
   6.4189        1.0289e+020   3.29971960e-026    
   6.4189        1.1680e+020   2.93759085e-026    
   6.4189        1.3260e+020   2.61390972e-026    
   6.4189        1.5053e+020   2.32487791e-026    
   6.4189        1.7088e+020   2.06701411e-026    
   6.4189        1.9399e+020   1.83713647e-026    
   6.4189        2.2022e+020   1.63234555e-026    
   6.4189        2.5000e+020   1.45000733e-026    
   6.6204        5.0000e+017   2.34225796e-024    
   6.6204        5.6761e+017   2.13484155e-024    
   6.6204        6.4437e+017   1.94562957e-024    
   6.6204        7.3150e+017   1.77298961e-024    
   6.6204        8.3041e+017   1.61543230e-024    
   6.6204        9.4270e+017   1.47160124e-024    
   6.6204        1.0702e+018   1.34026389e-024    
   6.6204        1.2149e+018   1.22030308e-024    
   6.6204        1.3792e+018   1.11070862e-024    
   6.6204        1.5657e+018   1.01056894e-024    
   6.6204        1.7774e+018   9.19062645e-025    
   6.6204        2.0177e+018   8.35449780e-025    
   6.6204        2.2906e+018   7.59063208e-025    
   6.6204        2.6003e+018   6.89300085e-025    
   6.6204        2.9519e+018   6.25613771e-025    
   6.6204        3.3511e+018   5.67506387e-025    
   6.6204        3.8042e+018   5.14522210e-025    
   6.6204        4.3186e+018   4.66242040e-025    
   6.6204        4.9026e+018   4.22278589e-025    
   6.6204        5.5656e+018   3.82272859e-025    
   6.6204        6.3182e+018   3.45891406e-025    
   6.6204        7.1725e+018   3.12824370e-025    
   6.6204        8.1424e+018   2.82784066e-025    
   6.6204        9.2434e+018   2.55503980e-025    
   6.6204        1.0493e+019   2.30738002e-025    
   6.6204        1.1912e+019   2.08259734e-025    
   6.6204        1.3523e+019   1.87861784e-025    
   6.6204        1.5352e+019   1.69354954e-025    
   6.6204        1.7428e+019   1.52567290e-025    
   6.6204        1.9784e+019   1.37342988e-025    
   6.6204        2.2460e+019   1.23541166e-025    
   6.6204        2.5497e+019   1.11034557e-025    
   6.6204        2.8944e+019   9.97081574e-026    
   6.6204        3.2858e+019   8.94578968e-026    
   6.6204        3.7301e+019   8.01893654e-026    
   6.6204        4.2345e+019   7.18166491e-026    
   6.6204        4.8071e+019   6.42612927e-026    
   6.6204        5.4572e+019   5.74514053e-026    
   6.6204        6.1951e+019   5.13209112e-026    
   6.6204        7.0328e+019   4.58089344e-026    
   6.6204        7.9838e+019   4.08593016e-026    
   6.6204        9.0634e+019   3.64201447e-026    
   6.6204        1.0289e+020   3.24435801e-026    
   6.6204        1.1680e+020   2.88854462e-026    
   6.6204        1.3260e+020   2.57050805e-026    
   6.6204        1.5053e+020   2.28651245e-026    
   6.6204        1.7088e+020   2.03313424e-026    
   6.6204        1.9399e+020   1.80724500e-026    
   6.6204        2.2022e+020   1.60599452e-026    
   6.6204        2.5000e+020   1.42679411e-026    
   6.8281        5.0000e+017   2.30347168e-024    
   6.8281        5.6761e+017   2.09949552e-024    
   6.8281        6.4437e+017   1.91341864e-024    
   6.8281        7.3150e+017   1.74363651e-024    
   6.8281        8.3041e+017   1.58868517e-024    
   6.8281        9.4270e+017   1.44723136e-024    
   6.8281        1.0702e+018   1.31806357e-024    
   6.8281        1.2149e+018   1.20008366e-024    
   6.8281        1.3792e+018   1.09229862e-024    
   6.8281        1.5657e+018   9.93812368e-025    
   6.8281        1.7774e+018   9.03817355e-025    
   6.8281        2.0177e+018   8.21586080e-025    
   6.8281        2.2906e+018   7.46462541e-025    
   6.8281        2.6003e+018   6.77853881e-025    
   6.8281        2.9519e+018   6.15222437e-025    
   6.8281        3.3511e+018   5.58078442e-025    
   6.8281        3.8042e+018   5.05973538e-025    
   6.8281        4.3186e+018   4.58495265e-025    
   6.8281        4.9026e+018   4.15262540e-025    
   6.8281        5.5656e+018   3.75922109e-025    
   6.8281        6.3182e+018   3.40145880e-025    
   6.8281        7.1725e+018   3.07628985e-025    
   6.8281        8.1424e+018   2.78088408e-025    
   6.8281        9.2434e+018   2.51261999e-025    
   6.8281        1.0493e+019   2.26907710e-025    
   6.8281        1.1912e+019   2.04802920e-025    
   6.8281        1.3523e+019   1.84743723e-025    
   6.8281        1.5352e+019   1.66544129e-025    
   6.8281        1.7428e+019   1.50035113e-025    
   6.8281        1.9784e+019   1.35063532e-025    
