#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=2.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:12
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(2)' coupled to the particle 'H2'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   6.15183822e-025    
   5.5000        5.6761e+017   6.14972134e-025    
   5.5000        6.4437e+017   6.14740234e-025    
   5.5000        7.3150e+017   6.14486146e-025    
   5.5000        8.3041e+017   6.14207710e-025    
   5.5000        9.4270e+017   6.13902555e-025    
   5.5000        1.0702e+018   6.13568083e-025    
   5.5000        1.2149e+018   6.13201432e-025    
   5.5000        1.3792e+018   6.12799452e-025    
   5.5000        1.5657e+018   6.12358660e-025    
   5.5000        1.7774e+018   6.11875206e-025    
   5.5000        2.0177e+018   6.11344832e-025    
   5.5000        2.2906e+018   6.10762824e-025    
   5.5000        2.6003e+018   6.10123980e-025    
   5.5000        2.9519e+018   6.09422571e-025    
   5.5000        3.3511e+018   6.08652306e-025    
   5.5000        3.8042e+018   6.07806309e-025    
   5.5000        4.3186e+018   6.06877094e-025    
   5.5000        4.9026e+018   6.05856542e-025    
   5.5000        5.5656e+018   6.04735877e-025    
   5.5000        6.3182e+018   6.03505637e-025    
   5.5000        7.1725e+018   6.02155631e-025    
   5.5000        8.1424e+018   6.00674872e-025    
   5.5000        9.2434e+018   5.99051493e-025    
   5.5000        1.0493e+019   5.97272622e-025    
   5.5000        1.1912e+019   5.95324225e-025    
   5.5000        1.3523e+019   5.93190901e-025    
   5.5000        1.5352e+019   5.90855652e-025    
   5.5000        1.7428e+019   5.88299604e-025    
   5.5000        1.9784e+019   5.85501716e-025    
   5.5000        2.2460e+019   5.82438474e-025    
   5.5000        2.5497e+019   5.79083600e-025    
   5.5000        2.8944e+019   5.75407790e-025    
   5.5000        3.2858e+019   5.71378515e-025    
   5.5000        3.7301e+019   5.66959906e-025    
   5.5000        4.2345e+019   5.62112754e-025    
   5.5000        4.8071e+019   5.56794658e-025    
   5.5000        5.4572e+019   5.50960337e-025    
   5.5000        6.1951e+019   5.44562150e-025    
   5.5000        7.0328e+019   5.37550837e-025    
   5.5000        7.9838e+019   5.29876509e-025    
   5.5000        9.0634e+019   5.21489900e-025    
   5.5000        1.0289e+020   5.12343895e-025    
   5.5000        1.1680e+020   5.02395326e-025    
   5.5000        1.3260e+020   4.91607003e-025    
   5.5000        1.5053e+020   4.79949950e-025    
   5.5000        1.7088e+020   4.67405755e-025    
   5.5000        1.9399e+020   4.53968935e-025    
   5.5000        2.2022e+020   4.39649175e-025    
   5.5000        2.5000e+020   4.24473276e-025    
   5.6726        5.0000e+017   6.72005451e-025    
   5.6726        5.6761e+017   6.71770288e-025    
   5.6726        6.4437e+017   6.71512704e-025    
   5.6726        7.3150e+017   6.71230513e-025    
   5.6726        8.3041e+017   6.70921321e-025    
   5.6726        9.4270e+017   6.70582504e-025    
   5.6726        1.0702e+018   6.70211186e-025    
   5.6726        1.2149e+018   6.69804199e-025    
   5.6726        1.3792e+018   6.69358055e-025    
   5.6726        1.5657e+018   6.68868900e-025    
   5.6726        1.7774e+018   6.68332473e-025    
   5.6726        2.0177e+018   6.67744059e-025    
   5.6726        2.2906e+018   6.67098443e-025    
   5.6726        2.6003e+018   6.66389866e-025    
   5.6726        2.9519e+018   6.65611987e-025    
   5.6726        3.3511e+018   6.64757848e-025    
   5.6726        3.8042e+018   6.63819840e-025    
   5.6726        4.3186e+018   6.62789682e-025    
   5.6726        4.9026e+018   6.61658394e-025    
   5.6726        5.5656e+018   6.60416271e-025    
   5.6726        6.3182e+018   6.59052848e-025    
   5.6726        7.1725e+018   6.57556853e-025    
   5.6726        8.1424e+018   6.55916136e-025    
   5.6726        9.2434e+018   6.54117570e-025    
   5.6726        1.0493e+019   6.52146913e-025    
   5.6726        1.1912e+019   6.49988635e-025    
   5.6726        1.3523e+019   6.47625691e-025    
   5.6726        1.5352e+019   6.45039265e-025    
   5.6726        1.7428e+019   6.42208464e-025    
   5.6726        1.9784e+019   6.39109999e-025    
   5.6726        2.2460e+019   6.35717851e-025    
   5.6726        2.5497e+019   6.32002954e-025    
   5.6726        2.8944e+019   6.27932917e-025    
   5.6726        3.2858e+019   6.23471811e-025    
   5.6726        3.7301e+019   6.18580058e-025    
   5.6726        4.2345e+019   6.13214446e-025    
   5.6726        4.8071e+019   6.07328306e-025    
   5.6726        5.4572e+019   6.00871886e-025    
   5.6726        6.1951e+019   5.93792938e-025    
   5.6726        7.0328e+019   5.86037563e-025    
   5.6726        7.9838e+019   5.77551332e-025    
   5.6726        9.0634e+019   5.68280684e-025    
   5.6726        1.0289e+020   5.58174642e-025    
   5.6726        1.1680e+020   5.47186805e-025    
   5.6726        1.3260e+020   5.35277600e-025    
   5.6726        1.5053e+020   5.22416753e-025    
   5.6726        1.7088e+020   5.08585856e-025    
   5.6726        1.9399e+020   4.93780950e-025    
   5.6726        2.2022e+020   4.78014939e-025    
   5.6726        2.5000e+020   4.61319657e-025    
   5.8506        5.0000e+017   7.32997027e-025    
   5.8506        5.6761e+017   7.32735890e-025    
   5.8506        6.4437e+017   7.32449909e-025    
   5.8506        7.3150e+017   7.32136665e-025    
   5.8506        8.3041e+017   7.31793515e-025    
   5.8506        9.4270e+017   7.31417559e-025    
   5.8506        1.0702e+018   7.31005616e-025    
   5.8506        1.2149e+018   7.30554190e-025    
   5.8506        1.3792e+018   7.30059426e-025    
   5.8506        1.5657e+018   7.29517066e-025    
   5.8506        1.7774e+018   7.28922403e-025    
   5.8506        2.0177e+018   7.28270228e-025    
   5.8506        2.2906e+018   7.27554779e-025    
   5.8506        2.6003e+018   7.26769698e-025    
   5.8506        2.9519e+018   7.25907980e-025    
   5.8506        3.3511e+018   7.24961938e-025    
